,name,player style,nationality,base price (in lacs),final price (in lacs),franchise,status
294,Sunil Narine,Allrounder,West Indies,20.0,600.0,KKR,RETAINED
295,Venkatesh Iyer,Allrounder,India,20.0,800.0,KKR,RETAINED
296,Ravindra Jadeja,Allrounder,India,20.0,1600.0,CSK,RETAINED
297,Varun Chakaravarthy,Bowler,India,20.0,800.0,KKR,RETAINED
298,Andre Russell,Allrounder,West Indies,20.0,1200.0,KKR,RETAINED
299,Shubman Gill,Batter,India,20.0,800.0,GT,RETAINED
300,Rashid Khan,Bowler,Afghanistan,20.0,1500.0,GT,RETAINED
301,Hardik Pandya,Allrounder,India,20.0,1500.0,GT,RETAINED
302,Anrich Nortje,Bowler,South Africa,20.0,650.0,DC,RETAINED
303,Prithvi Shaw,Batter,India,20.0,750.0,DC,RETAINED
304,MS Dhoni,WK-Batter,India,20.0,1200.0,CSK,RETAINED
305,Moeen Ali,Allrounder,England,20.0,800.0,CSK,RETAINED
306,Ruturaj Gaikwad,Batter,India,20.0,600.0,CSK,RETAINED
307,Rishabh Pant,WK-Batter,India,20.0,1600.0,DC,RETAINED
308,Axar Patel,Allrounder,India,20.0,900.0,DC,RETAINED
